Title,Year,Runtime,Director,Genres,Rate,Votes
Toy Story,1995,81 min,John Lasseter,"Animation, Adventure, Comedy",8.3,833567.0
Genio Indomavel,1997,126 min,Gus Van Sant,"Drama, Romance",8.3,801142.0
Snatch: Porcos e Diamantes,2000,104 min,Guy Ritchie,"Comedy, Crime",8.3,742064.0
Requiem para um Sonho,2000,102 min,Darren Aronofsky,Drama,8.3,724117.0
Toy Story 3,2010,103 min,Lee Unkrich,"Animation, Adventure, Comedy",8.3,715707.0
Laranja Mecanica,1971,136 min,Stanley Kubrick,"Crime, Drama, Sci-Fi",8.3,715386.0
Scarface,1983,170 min,Brian De Palma,"Crime, Drama",8.3,691913.0
Taxi Driver: Motorista de Taxi,1976,114 min,Martin Scorsese,"Crime, Drama",8.3,672189.0
O Fabuloso Destino de Amelie Poulain,2001,122 min,Jean-Pierre Jeunet,"Comedy, Romance",8.3,671292.0
Nascido para Matar,1987,116 min,Stanley Kubrick,"Drama, War",8.3,634455.0
"Aliens, o Resgate",1986,137 min,James Cameron,"Action, Adventure, Sci-Fi",8.3,620572.0
2001: Uma Odisseia no Espaco,1968,149 min,Stanley Kubrick,"Adventure, Sci-Fi",8.3,565159.0
Cidadao Kane,1941,119 min,Orson Welles,"Drama, Mystery",8.3,375716.0
Amadeus,1984,160 min,Milos Forman,"Biography, Drama, History",8.3,349116.0
Um Corpo que Cai,1958,128 min,Alfred Hitchcock,"Mystery, Romance, Thriller",8.3,335417.0
Intriga Internacional,1959,136 min,Alfred Hitchcock,"Adventure, Mystery, Thriller",8.3,281450.0
O Sol e para Todos,1962,129 min,Robert Mulligan,"Crime, Drama",8.3,280704.0
A Caca,2012,115 min,Thomas Vinterberg,Drama,8.3,255171.0
Lawrence da Arabia,1962,228 min,David Lean,"Adventure, Biography, Drama",8.3,251815.0
Golpe de Mestre,1973,129 min,George Roy Hill,"Comedy, Crime, Drama",8.3,228166.0
O Barco: Inferno no Mar,1981,149 min,Wolfgang Petersen,"Adventure, Drama, Thriller",8.3,218389.0
Por uns Dolares a Mais,1965,132 min,Sergio Leone,Western,8.3,216336.0
A Separacao,2011,123 min,Asghar Farhadi,Drama,8.3,205522.0
Cantando na Chuva,1952,103 min,Stanley Donen,"Comedy, Musical, Romance",8.3,205017.0
Se Meu Apartamento Falasse,1960,125 min,Billy Wilder,"Comedy, Drama, Romance",8.3,151213.0
Metropolis,1927,153 min,Fritz Lang,"Drama, Sci-Fi",8.3,150135.0
Ladroes de Bicicletas,1948,89 min,Vittorio De Sica,Drama,8.3,134098.0
Pacto de Sangue,1944,107 min,Billy Wilder,"Crime, Drama, Film-Noir",8.3,133541.0
"M, o Vampiro de Dusseldorf",1931,117 min,Fritz Lang,"Crime, Mystery, Thriller",8.3,133526.0
Incendios,2010,131 min,Denis Villeneuve,"Drama, Mystery, War",8.3,131849.0
O Garoto,1921,68 min,Charles Chaplin,"Comedy, Drama, Family",8.3,103337.0
Meu Pai e Meu Filho,2005,108 min,Çagan Irmak,"Drama, Family",8.3,71927.0
Viver,1952,143 min,Akira Kurosawa,Drama,8.3,61480.0
O Bandido,1996,128 min,Yavuz Turgul,"Crime, Drama, Thriller",8.3,58385.0
Filhos do Paraiso,1997,89 min,Majid Majidi,"Drama, Family, Sport",8.3,57707.0
Assassinato as Cegas,2018,139 min,Sriram Raghavan,"Crime, Thriller",8.3,54964.0
Va e Veja,1985,142 min,Elem Klimov,"Drama, War",8.3,47269.0
Batman Begins,2005,140 min,Christopher Nolan,"Action, Adventure, Fantasy",8.2,1238135.0
O Lobo de Wall Street,2013,180 min,Martin Scorsese,"Biography, Crime, Drama",8.2,1085843.0
V de Vinganca,2005,132 min,James McTeigue,"Action, Drama, Sci-Fi",8.2,979375.0
Up: Altas Aventuras,2009,96 min,Pete Docter,"Animation, Adventure, Comedy",8.2,880038.0
Uma Mente Brilhante,2001,135 min,Ron Howard,"Biography, Drama",8.2,798786.0
Duro de Matar,1988,132 min,John McTiernan,"Action, Thriller",8.2,747143.0
Indiana Jones e a Ultima Cruzada,1989,127 min,Steven Spielberg,"Action, Adventure",8.2,655818.0
O Labirinto do Fauno,2006,118 min,Guillermo del Toro,"Drama, Fantasy, War",8.2,589117.0
Divertida Mente,I 2015,95 min,Pete Docter,"Animation, Adventure, Comedy",8.2,565059.0
Fogo Contra Fogo,1995,170 min,Michael Mann,"Crime, Drama, Thriller",8.2,542165.0
"Jogos, Trapacas e Dois Canos Fumegantes",1998,107 min,Guy Ritchie,"Comedy, Crime",8.2,507417.0
Los Angeles: Cidade Proibida,1997,138 min,Curtis Hanson,"Crime, Drama, Mystery",8.2,507235.0
Sangue Negro,2007,158 min,Paul Thomas Anderson,Drama,8.2,481215.0
Monty Python em Busca do Calice Sagrado,1975,91 min,Terry Gilliam,"Adventure, Comedy, Fantasy",8.2,476897.0
Cassino,1995,178 min,Martin Scorsese,"Crime, Drama",8.2,433159.0
Guerreiro,2011,140 min,Gavin O'Connor,"Drama, Sport",8.2,414610.0
Tres Anuncios para um Crime,2017,115 min,Martin McDonagh,"Comedy, Crime, Drama",8.2,379122.0
Os Imperdoaveis,1992,130 min,Clint Eastwood,"Drama, Western",8.2,353515.0
A Queda! As Ultimas Horas de Hitler,2004,156 min,Oliver Hirschbiegel,"Biography, Drama, History",8.2,314879.0
Touro Indomavel,1980,129 min,Martin Scorsese,"Biography, Drama, Sport",8.2,301325.0
O Castelo Animado,2004,119 min,Hayao Miyazaki,"Animation, Adventure, Family",8.2,295720.0
Green Book: O Guia,2018,130 min,Peter Farrelly,"Biography, Comedy, Drama",8.2,284051.0
Chinatown,1974,130 min,Roman Polanski,"Drama, Mystery, Thriller",8.2,275658.0
Meu Amigo Totoro,1988,86 min,Hayao Miyazaki,"Animation, Family, Fantasy",8.2,250992.0
Quanto Mais Quente Melhor,1959,121 min,Billy Wilder,"Comedy, Music, Romance",8.2,229186.0
Fugindo do Inferno,1963,172 min,John Sturges,"Adventure, Drama, History",8.2,211818.0
O Segredo dos Seus Olhos,2009,129 min,Juan José Campanella,"Drama, Mystery, Romance",8.2,179389.0
O Setimo Selo,1957,96 min,Ingmar Bergman,"Drama, Fantasy",8.2,149807.0
Disque M para Matar,1954,105 min,Alfred Hitchcock,"Crime, Thriller",8.2,146012.0
Rashomon,1950,88 min,Akira Kurosawa,"Crime, Drama, Mystery",8.2,141284.0
A Malvada,1950,138 min,Joseph L. Mankiewicz,Drama,8.2,113388.0
O Tesouro da Sierra Madre,1948,126 min,John Huston,"Adventure, Drama, Western",8.2,107252.0
Pinte de Acafrao,2006,167 min,Rakeysh Omprakash Mehra,"Comedy, Drama",8.2,104222.0
Stalker,1979,162 min,Andrei Tarkovsky,"Drama, Sci-Fi",8.2,104004.0
Ford vs Ferrari,2019,152 min,James Mangold,"Action, Biography, Drama",8.2,103896.0
Ran,1985,162 min,Akira Kurosawa,"Action, Drama",8.2,103504.0
"Yojimbo, o Guarda-Costas",1961,110 min,Akira Kurosawa,"Action, Drama, Thriller",8.2,102456.0
Em Busca do Ouro,1925,95 min,Charles Chaplin,"Adventure, Comedy, Drama",8.2,93048.0
Morangos Silvestres,1957,91 min,Ingmar Bergman,"Drama, Romance",8.2,87809.0
"Swades: We, the People",2004,210 min,Ashutosh Gowariker,Drama,8.2,77556.0
Gangues de Wasseypur,2012,321 min,Anurag Kashyap,"Action, Comedy, Crime",8.2,72871.0
Chak De! India,2007,153 min,Shimit Amin,"Drama, Family, Sport",8.2,69137.0
Baahubali 2: A Conclusao,2017,167 min,S.S. Rajamouli,"Action, Drama",8.2,69068.0
Julgamento em Nuremberg,1961,179 min,Stanley Kramer,"Drama, War",8.2,64379.0
A Chantagem,2015,163 min,Nishikant Kamat,"Crime, Drama, Mystery",8.2,59493.0
Queen,2013,146 min,Vikas Bahl,"Comedy, Drama",8.2,56944.0
"Corra, Milkha, Corra",2013,186 min,Rakeysh Omprakash Mehra,"Biography, Drama, Sport",8.2,56827.0
Klaus,2019,96 min,Sergio Pablos,"Animation, Adventure, Comedy",8.2,51882.0
Hera Pheri,2000,156 min,Priyadarshan,"Action, Comedy, Crime",8.2,50756.0
Sholay,1975,204 min,Ramesh Sippy,"Action, Adventure, Comedy",8.2,48417.0
OMG: Oh My God!,2012,125 min,Umesh Shukla,"Comedy, Drama, Fantasy",8.2,46842.0
Andaz Apna Apna,1994,160 min,Rajkumar Santoshi,"Comedy, Family, Romance",8.2,46835.0
Era uma Vez em Toquio,1953,136 min,Yasujirô Ozu,Drama,8.2,46568.0
Andrei Rublev,1966,205 min,Andrei Tarkovsky,"Biography, Drama, History",8.2,41556.0
Maome - O Mensageiro de Ala,1976,177 min,Moustapha Akkad,"Biography, Drama, History",8.2,41177.0
Sono de Inverno,2014,196 min,Nuri Bilge Ceylan,Drama,8.2,39770.0
Vishwaroopam,2013,148 min,Kamal Haasan,"Action, Thriller",8.2,38108.0
Bancando o Aguia,1924,45 min,Buster Keaton,"Action, Comedy, Romance",8.2,36046.0
Tangerinas,2013,87 min,Zaza Urushadze,"Drama, War",8.2,34975.0
Pink,III 2016,136 min,Aniruddha Roy Chowdhury,"Drama, Thriller",8.2,34653.0
A Voz do Silencio,2016,130 min,Naoko Yamada,"Animation, Drama, Romance",8.2,32971.0
Black,2005,122 min,Sanjay Leela Bhansali,Drama,8.2,31917.0
Paan Singh Tomar,2012,135 min,Tigmanshu Dhulia,"Action, Biography, Crime",8.2,30255.0
K.G.F: Chapter 1,2018,156 min,Prashanth Neel,"Action, Drama",8.2,28068.0
Os Sapatinhos Vermelhos,1948,135 min,Michael Powell,"Drama, Music, Romance",8.2,27194.0
Culpa Declarada,2015,132 min,Meghna Gulzar,"Crime, Drama, Mystery",8.2,27162.0
A Montanha dos 7 Abutres,1951,111 min,Billy Wilder,"Drama, Film-Noir",8.2,27076.0
Furia Sanguinaria,1949,114 min,Raoul Walsh,"Action, Crime, Drama",8.2,26930.0
